Elemento,Bazformo,Statuso,BRO,Oficiala difino,France,Angle,Germane,Pole,Ruse
ELEFANT/,elefant/o,F,BRO8: elefanto,,éléphant,elephant,Elephant,słoń,слонъ
ELEKT/,elekt/i,F,BRO4: elekti,,"choisir, élire AK",choose,wählen,wybierać,выбирать
ELIZABET/,Elizabet/o,F +7OA,,,,,,,
ELOKVENT/,elokvent/a,F,,,éloquent,eloquent,beredt,krasomówny,краснорѣчивый
EM/,-em-,F,BRO1: -ema,,"qui a le penchant, l’habitude; ex. babil/ babiller ― babil/em/ babillard",inclined to; e. g. babil/ chatter ― babil/em/ talkative,"-haft, geneigt (babilem- = schwatzhaft) AK","skłonny, przyzwyczajony; np. babil/ paplać ― babil/em/ gadatliwy AK","склонный, имѣющій привычку; напр. babil/ болтать ― babil/em/ болтливый"
EMAJL/,emajl/o,F,BRO9: emajlo,,email,enamel,Email,emalja AK,эмаль
EMBARAS/,embaras/o,F,BRO7: embaraso,,embarras,"embarrassment, perplexity AK",Verlegenheit,"ambaras, kłopot AK",затрудненіе
EMBRI/,embri/o,F,,,embryon,embryo,Keim,"zaród, zarodek",зародышъ
EMBUSK/,embusk/o,F,,,embuscade,ambush,Hinterhalt,zasadzka,засада
EMILI/,Emili/o,F +7OA,,,,,,,
EMINENT/,eminent/a,F,BRO8: eminenta,,éminent,eminent,"vornehm, hervorragend","znakomity, wydatny","знатный, выдающійся"
EN,en,F,BRO1: en,,"en, dans",in (when followed by the accusative ― into),"in, ein-",w,въ
EN/SPEZ/,en/spez/i,F,,,encaisser AK,"have income, receipt AK","einnehmen, lösen AK",mieć dochód,имѣть доходъ
EN/TER/IG/,en/ter/ig/i,F,,,ensevelir,bury,begraben,"pochować, pogrzebać",хоронить
ENERGI/,energi/o,F +1OA +7OA,BRO7: energio,,énergie,energy,Energie,energja,энергія
ENIGM/,enigm/o,F,BRO8: enigmo,,énigme,puzzle,Räthsel,zagadka,загадка
ENTREPREN/,entrepren/i,F,BRO8: entrepreni,,entreprendre,undertake,unternehmen,przedsiębrać,предпринимать
ENTUZIASM/,entuziasm/o,F,,,enthousiasme,enthusiasm,Begeisterung,zapał,воодушевленіе
ENU/,enu/i,F,BRO7: enui,,s’ennuyer,"be bored, weary AK",sich langweilen,nudzić się,скучать
ENVI/,envi/i,F,BRO8: envii,,envier,envy,beneiden,zazdrościć,завидовать
EPISKOP/,episkop/o,F,,,évêque,bishop,Bischof,biskup,"епископъ, архіерей"
EPOK/,epok/o,F,BRO7: epoko,,époque,epoch,Epoche,epoka,эпоха
EPOLET/,epolet/o,F,,,épaulette,"epaulet, shoulder-strap",Achselband,naramiennik,эполетъ
ER/,-er-,F,BRO9: -er-,,marque l’unité; ex. sabl/ sable ― sabl/er/ un grain de sable,one of many objects of the same kind; e. g. sabl/ sand ― sabl/er/ grain of sand,ein einzelnes von...; z. B. sabl/ Sand ― sabl/er/ Sandkörnchen AK,oddzielna jednostka; np. sabl/ piasek ― sabl/er/ ziarnko piasku,отдѣльная единица; напр. sabl/ песокъ ― sabl/er/ песчинка
ERAR/,erar/i,F,BRO4: erari,,"faire erreur, se tromper AK","err, mistake",irren,"błądzić, mylić się","ошибаться, блуждать"
ERINAC/,erinac/o,F,,,hérisson,hedgehog,Igel,jeż,ежъ
ERMEN/,ermen/o,F,,,hermine,ermine,Hermelin,gronostaj,горностай
ERMIT/,ermit/o,F,,,"ermite, solitaire","hermit, solitary",Einsiedler,pustelnik,отшельникъ
ERNEST/,Ernest/o,F +7OA,,,,,,,
ERP/,erp/i,F,,,herser,harrow (vb.) AK,eggen,bronować,боронить
ESCEPT/,escept/i,F,BRO8: escepti,,excepter,except,"ausschliessen, ausnehmen",wykluczać,исключать
ESENC/,esenc/o,F,BRO8: esenco,,"être, essence",essence,Wesen,"islota, treść",сущность
ESKADR/,eskadr/o,F,,,escadre,squadron,Geschwader,eskadra,эскадра
ESPER/,esper/i,F,BRO4: esperi,,espérer,hope,hoffen,spodziewać się,надѣяться
ESPERANT/,Esperant/o,F +7OA,BRO8: Esperanto,,,,,,
ESPLOR/,esplor/i,F,BRO7: esplori,,"explorer, rechercher, examiner AK","investigate, explore AK","forschen, untersuchen",badać,изслѣдовать
ESPRIM/,esprim/i,F,BRO7: esprimi,,exprimer,express (vb.),ausdrücken,wyrażać,выражать
EST/,est/i,F,BRO2: esti,,être (verbe),be,sein,być,быть
ESTIM/,estim/i,F,BRO5: estimi,,estimer,esteem,"achten, schätzen AK",poważać,уважать
ESTING/,esting/i,F,BRO6: estingi,,éteindre,extinguish,löschen,gasić,гасить
ESTR/,-estr-,F,BRO1: -estro,,chef; ex. ŝip/ navire ― ŝip/estr/ capitaine,"chief, boss; e.g. ŝip/ ship ― ŝip/estr/ captain","Vorsteher, z. B. ŝip- = Schiff, ŝipestr- = Kapitän AK","wódz, zwierzchnik",начальникъ; напр. ŝip/ корабль ― ŝip/estr/ капитанъ
ESTR/AR/,estr/ar/o,F,,,gouvernement,government,Obrigkeit,"zwierzchność, władza",начальство
EŜAFOD/,eŝafod/o,F,,,échafaud,scaffold,Schaffot,szafot AK,эшафотъ
ET/,-et-,F,BRO1: -et-,,"marque diminution, décroissance; ex. mur/ mur ― mur/et/ petitmur; rid/ rire ― rid/et/ sourire",denotes diminution of degree; e. g. rid/ laugh ― rid/et/ smile,bezeichnet eine Verkleinerung oder Schwächung; z. B. mur/ Wand ― mur/et/ Wändchen; rid/ lachen ― rid/et/ lächeln,"oznacza zmniejszenie, zdrobnienie lub osłabienie stopnia; np. mur/ ściana ― mur/et/ ścianka; rid/ śmiać się ― rid/et/ uśmiechać się",означаетъ уменьшеніе или ослабленіе степени; напр. mur/ стѣна ― mur/et/ стѣнка; rid/ смѣяться ― rid/et/ улыбаться
ETAĜ/,etaĝ/o,F,BRO7: etaĝo,,étage,story (of a house) AK,"Stockwerk, Etage",piętro,этажъ
ETAT/,etat/o,F,BRO9: etato,,"état, liste AK",statement (finance etc.) AK,Etat,etat,штатъ
ETEND/,etend/i,F,BRO7: etendi,,étendre,extend,"dehnen, strecken, ausbreiten",rospościerać,простирать
ETER/,eter/o,F,,,éther,ether,Aether,eter,эфиръ
ETERN/,etern/a,F,BRO7: eterna,,éternel,eternal,ewig,wieczny,вѣчный
EŬROP/,Eŭrop/o,F +7OA,BRO9: Eŭropo,,,,,,
EVIT/,evit/i,F,BRO6: eviti,,éviter,avoid,"meiden, ausweichen",unikać,избѣгать
EZOK/,ezok/o,F,BRO8: ezoko,,brochet,pike (fish),Hecht,szczupak,щука
FAB/,fab/o,F,BRO9: fabo,,fève,bean,Bohne,"bób, fasola",бобъ
FABEL/,fabel/o,F,BRO9: fabelo,,conte,"tale, story",Mährchen,baśń AK,сказка
FABL/,fabl/o,F,,,fable,fable,Fabel,bajka AK,басня
FABRIK/,fabrik/o,F,BRO8: fabriko,,fabrique,(noto),Fabrik,fabryka,фабрика
FACET/,facet/o,F,,,facette,facet,Facette,"grań, ścianka szlifowana AK",грань
FACIL/,facil/a,F,BRO2: facila,,facile,easy,leicht,łatwy AK,легкій
FADEN/,faden/o,F,BRO6: fadeno,,fil,thread (a) AK,Faden (zum Nähen etc.),nić,нить
FAG/,fag/o,F,BRO9: fago,,hêtre,beech-tree,Buche,buk,букъ
FAJENC/,fajenc/o,F,BRO9: fajenco,,faïence,delft ware,"Fayence, Halbporzellan AK",fajans,фаянсъ
FAJF/,fajf/i,F,BRO7: fajfi,,siffler,whistle (vb.) AK,pfeifen,świstać,свистать
FAJL/,fajl/i,F,,,limer,file (vb.) AK,feilen,piłować,пилить напильником AK
FAJR/,fajr/o,F,BRO4: fajro,,feu,fire,Feuer,ogień,огонь
FAK/,fak/o,F,BRO6: fako,,"compartiment, branche, spécialité AK","department, compartment AK",Fach,"przegródka, dział AK","отделение, отдел, отрасль AK"
FAKTUR/,faktur/o,F,,,facture,invoice AK,"Rechnung, Faktura AK",faktura,накладная
FAL/,fal/i,F,BRO3: fali,,tomber,fall,fallen,padać,падать
FAL/ET/,fal/et/i,F,,,broncher,stumble,stolpern,potknąć się,спотыкаться
FALBAL/,falbal/o,F,,,falbala,"flounce, furbelow AK",Falbel,falbana,"фалбала, оборка AK"
FALĈ/,falĉ/i,F,BRO9: falĉi,,faucher,"mow, cut grass",mähen,kosić,косить
FALĈ/IL/,falĉ/il/o,F,,,faux,scythe,Sense,kosa,коса (для травы)
FALD/,"faldo, fald/i",F,,,plier,"fold, pleat (vb.) AK",falten,fałdować,складывать (въ складки)
FALK/,falk/o,F,,,faucon,falcon,Falke,sokół,соколъ
FALS/,"falsa, fals/i",F,,,falsifier,falsify,fälschen,fałszować,"фальшивить, поддѣлывать"
FAM/,fam/a,F,BRO6: fama,,"bruit, renommée AK","rumour, report, fame AK",Gerücht,"pogłoska, wieść AK",молва
FAMILI/,famili/o,F,BRO3: familio,,famille,family,Familie,rodzina,семейство
FAND/,fand/i,F,BRO7: fandi,,fondre,"melt, smelt (vb.) AK","giessen, schmelzen",roztapiać,"расплавлять, растоплять AK"
FANFARON/,fanfaron/i,F,BRO8: fanfaroni,,"se vanter, faire le glorieur","boast, brag",prahlen,przechwalać się,хвастать
FANTOM/,fantom/o,F,,,"spectre, fantôme","phantom, spectre AK",Gespenst,"widmo, duch AK","призрак, привидение AK"
FAR/,far/i,F,BRO2: fari,,faire,"do, make AK","thun, machen","robić, czynić",дѣлать
FAR/IĜ/,far/iĝ/i,F,,,devenir (se faire),become,werden,stawać się,дѣлаться
FARING/,faring/o,F,,,pharynx,pharynx AK,Schlund,gardziel,глотка
FARM/,farm/i,F,BRO7: farmi,,prendre à ferme AK,take on lease AK,pachten,dzierżawić,арендовать
FART/,fart/i,F,BRO7: farti,,se porter (santé),be (well or unwell),sich (gesundheitlich) befinden AK,stan (zdrowia) AK,поживать
FART/O,fart/o,F,,,état,state,"Befinden, Zustand AK",stan,состояніе
FARUN/,farun/o,F,BRO7: faruno,,farine,"meal, flour AK",Mehl,mąka,мука
FASK/,fask/o,F,BRO7: fasko,,"touffe, faisceau",bundle,Bündel AK,"wiązka, pęk","пукъ, пучекъ"
FASON/,fason/o,F,BRO9: fasono,,façon,"fashion, make, cut (of clothes, etc.) AK",Façon,fason,фасонъ
FAST/,fast/i,F,BRO9: fasti,,jeûner,fast (vb.),fasten,pościć,поститься
FAŬK/,faŭk/o,F,BRO8: faŭko,,"gueule, orifice AK",jaw,Rachen,paszcza,зѣвъ
FAV/,fav/o,F,,,teigne,kind of ringworm AK,(Kopf)grind AK,parch,парша
FAVOR/,favor/a,F,BRO7: favora,,favorable,favorable,günstig,przychylny,благосклонный
FAZAN/,fazan/o,F,,,faisan,pheasant,Fasan,baźant,фазанъ
FE/,fe/o,F,BRO9: feo,,,,,,
FE/IN/,fe/in/o,F,,,fée,fairy,Fee,wieszczka,фея
FEBR/,febr/o,F,BRO8: febro,,fièvre,fever,Fieber,febra,лихорадка
FEBRUAR/,Februar/o,F,BRO5: Februaro,,Février,February,Februar,Luty,Февраль
FEĈ/,feĉ/o,F,BRO9: feĉo,,lie,"lees, dregs AK","Hefe, Sediment AK",droźdźe,дрожжи
FEL/,fel/o,F,BRO8: felo,,"peau, fourrure","hide, fleece",Fell,"skóra, futro AK","шкура, мѣхъ"
FELIĈ/,feliĉ/a,F,BRO2: feliĉa,,heureux,happy,glücklich,szczęśliwy,счастливый
FELT/,felt/o,F,BRO9: felto,,feutre,felt (cloth) AK,Filz,pilśń,"войлок, фетр AK"
FEMUR/,femur/o,F,,,haut de la cuisse,thigh,"(Ober)schenkel, Keule AK",biodro,"бедро, ляшка"
FEND/,fend/o,F,BRO8: fendo,,fendre,split,spalten,"łupać, rozpłatać",раскалывать
FENESTR/,fenestr/o,F,BRO3: fenestro,,fenêtre,window,Fenster,okno,окно
FENKOL/,fenkol/o,F,,,fenouil,fennel,Fenchel,kopr włoski,укропъ
FER/,fer/o,F,BRO4: fero,,fer,iron,Eisen,źelazo,желѣзо
FER/VOJ/,fer/voj/o,F,,,chemin de fer,railway,Eisenbahn,"droga źelazna, kolej",желѣзная дорога
FERDEK/,ferdek/o,F,,,"pont, tillac",deck (of ship) AK,Verdeck,pokład (okrętu) AK,палуба
FERM/,ferm/i,F,BRO3: fermi,,fermer,shut,"schliessen, zumachen",zamykać,закрывать AK
FERMENT/,ferment/o,F,,,fermenter,ferment,gähren,fermentować,"бродить, приходить въ броженіе"
FERVOR/,fervor/a,F,BRO8: fervora,,"zèle, ferveur","zeal, ardour",Eifer,gorliwość,усердіе
FEST/,fest/i,F,BRO4: festi,,fêter,celebrate AK,feiern,świętować,праздновать
FESTEN/,festen/i,F,BRO8: festeni,,banqueter,"feast, banquet",schmausen,ucztować,пировать
FI,fi,F +1OA +7OA,BRO9: fi,,fi!,fie! for shame!,pfui!,fe!,тьфу!
FIANĈ/,fianĉ/o,F,BRO7: fianĉo,,fiancé,betrothed person,Bräutigam,narzeczony,женихъ
FIBR/,fibr/o,F,,,fibre,fibre,Faser,włókno,волокно
FID/,fid/i,F,BRO7: fidi,,"se fier, compter sur, avoir foi en AK","rely upon, trust on","vertrauen, sich verlassen AK","polegać, spuszczać się",полагаться на к. н.
FIDEL/,fidel/a,F,BRO6: fidela,,fidèle,faithful,treu,wierny,вѣрный
FIER/,fier/a,F,BRO6: fiera,,fier AK,proud,stolz,dumny,гордый
FIG/,fig/o,F,BRO9: figo,,figue,fig,Feige,figa,фига
FIGUR/,figur/o,F,BRO7: figuro,,"figurer, représenter AK","figure, represent","darstellen, abbilden AK","wyobrażać, postać AK",изображать
FIL/,fil/o,F,BRO3: filo,,fils,son,Sohn,syn,сынъ
FILIK/,filik/oj,F,,,fougère,fern,Farrnkraut,paproć,папоротникъ
FILTR/,filtr/i,F,,,"couler, filtrer","strain, filter",seihen,cedzić,"цедить, фильтровать AK"
FIN/,fin/i,F,BRO2: fini,,finir (trans.) AK,"finish, end (trans.) AK","enden, beendigen",kończyć,кончать
FINGR/,fingr/o,F,BRO3: fingro,,doigt,finger,Finger,palec,палецъ
FIRM/,firm/a,F,BRO6: firma,,"ferme, solide AK",firm,fest,"staly, mocny",прочный AK
FIRM/O,firm/o,F,,,"raison (de commerce), enseigne",firm (a) AK,Firma,firma,фирма
FISTUL/,fistul/o,F,,,fistule,fistula,Fistel,fistuła,фистула
FIŜ/,fiŝ/o,F,BRO4: fiŝo,,poisson,fish,Fisch,ryba,рыба
FIŜ/HOK/,fiŝ/hok/o,F,,,hameçon,fishing-hook,Fischangel,wędka,"уда, удочка"
FIŜ/OLE/,fiŝ/ole/o,F,,,huile de poisson,fish-oil,Thran,tran,рыбій жиръ
FIZIK/,fizik/o,F +1OA +7OA,BRO8: fiziko,,physique,physics,Physik,fizyka,физика
FLAG/,flag/o,F,BRO6: flago,,bannière,flag,Flagge,"bandera, flaga",флагъ
FLAM/,flam/o,F,BRO7: flamo,,flamme,flame,Flamme,płomień,пламя
FLAN/,flan/o,F,,,flan (pâtisserie) AK,flawn,"Fladen, Plinse AK",placek,блинъ
FLANEL/,flanel/o,F,,,flanelle,flannel,Flanell,flanela,фланель
FLANK/,flank/o,F,BRO2: flanko,,côté,side,Seite,strona,сторона
FLANK/KURTEN/,flank/kurten/o,F,,,courtine,courtain (side) AK,Gardine,firanki,гардины
FLAR/,flar/i,F,BRO8: flari,,"flairer, sentir",smell (vb.),"riechen, schnupfen",wąchać,"нюхать, обонять AK"
FLAT/,flat/i,F,BRO9: flati,,flatter,flatter,schmeicheln,pochlebiać,льстить
FLAV/,flav/a,F,BRO5: flava,,jaune,yellow,gelb,źółty,желтый
FLEG/,fleg/i,F,BRO6: flegi,,soigner (un malade) AK,"nurse, tend AK","pflegen, verpflegen, warten (z. B. Kranke) AK",pielęgnować,ухаживать (за больными и т.п.) AK
FLEGM/,flegm/o,F,,,flegme,phlegm,Phlegma,flegma,флегма
FLEKS/,fleks/i,F,BRO8: fleksi,,"fléchir, ployer",bend,biegen,giąć,гнуть
FLIK/,flik/i,F,BRO9: fliki,,rapiécer AK,"patch, repair",flicken AK,łatać,"латать, делать заплаты, починять AK"
FLIRT/,flirt/i,F,BRO8: flirti,,"voltiger, voleter","flirt, flutter",flattern,trzepotać,"порхать, любезничать AK"
FLOK/,flok/o,F,,,flocon,"flake, fluck",Flocke,"kosmyk, kłaczet","клокъ, хлопокъ"
FLOR/,flor/o,F,BRO4: floro,,fleurir,"bloom, flower (vb.) AK",blühen,kwitnąć,цвѣсти
FLOR/O,flor/o,F,,,fleur,"flower, bloom",Blume,kwiat,цвѣтокъ
FLOS/,flos/o,F,BRO7: floso,,"radeau, train de bois flotté AK","float, raft",Floss,tratwa AK,плотъ
FLU/,flu/i,F,BRO5: flui,,couler,flow,fliessen,"plynąć, cieknąć",течь
FLUG/,flug/i,F,BRO3: flugi,,voler (avec des ailes),fly (vb.),fliegen,latać,летать
FLUG/IL/,flug/il/o,F,,,aile,wing,Flügel,skrzydło,крыло
FLUID/,fluid/o,F,BRO9: fluido,,liquide,fluid,flüssig,płynny,жидкій
FLUT/,flut/o,F,,,flûte,flute,Flöte,flet,флейта
FO,fo,F +7OA,,"fo. Nomo de la litero f, sepa litero de la Esperanta alfabeto.",,,,,
FOIR/,foir/o,F,BRO8: foiro,,foire,fair (subst.),"Jahrmarkt, Messe",jarmark,ярмарка
FOJ/,foj/o,F,BRO2: fojo,,fois,time (e. g. three times etc.),"Mal, einmal",raz,разъ
FOJN/,fojn/o,F,BRO7: fojno,,foin,hay,Heu,siano,сѣно
FOK/,fok/o,F,,,"chien de mer, phoque",seal (animal),Seehund,"foka, pies morski",тюлень
FOKUS/,fokus/o,F,,,foyer (phys.) AK,focus,Brennpunkt AK,ognisko (matemat.) AK,фокус оптический AK
FOLI/,foli/o,F,BRO5: folio,,feuille,"leaf, sheet (paper) AK","Blatt, Bogen (Papier)","liść, arkusz",листъ
FOND/,fond/i,F,BRO8: fondi,,fonder,found,gründen,zakładać,основывать
FONT/,font/o,F,BRO5: fonto,,source,fountain,Quelle,żródło,источникъ
FONTAN/,fontan/o,F,BRO9: fontano,,fontaine (jaillissante),fountain AK,Springbrunnen,wodotrysk,фонтанъ
FOR,for,F,BRO1: for,,"loin, hors","forth, away AK","fort, weg AK",precz,прочь
FOR/PERMES/,for/permes/i,F,,,donner congé,"grant leave of absence, give furlough AK",beurlauben,"zwalniać, dać urlop",отпускать
FORGES/,forges/i,F,BRO4: forgesi,,oublier,forget,vergessen,zapominać,забывать
FORĜ/,forĝ/i,F,BRO7: forĝi,,forger,forge (smith’s work) AK,schmieden,kuć,ковать
FORK/,fork/o,F,BRO6: forko,,"fourche, fourchette AK",fork,Gabel,"widły, widelec","вилы, вилка"
FORM/,form/o,F,BRO2: formo,,forme,form,Form,"forma, kształt",форма
FORMIK/,formik/o,F,BRO9: formiko,,fourmi,ant,Ameise,mrówka,муравей
FORN/,forn/o,F,BRO6: forno,,"fourneau, poële, four","stove, furnace, oven AK",Ofen,piec,"печь, печка"
FORT/,fort/a,F,BRO2: forta,,fort,strong,"stark, kräftig",silny,сильный
FORTEPIAN/,fortepian/o,F,,,piano (instrument) AK,pianoforte AK,Clavier,fortepian,рояль
FORTIK/,fortik/a,F,BRO7: fortika,,"solide, robuste","solid, durable, robust AK","fest, haltbar","mocny, trwały","прочный, крѣпкій"
FORTIK/AĴ/,fortik/aĵ/o,F,,,forteresse,fortress,Festung,twierdza,крѣпость
FOS/,"foso, fos/i",F,,,creuser,dig,graben,"kopać, ryć AK",копать
FOS/IL/,fos/il/o,F,,,bêche,spade,Spaten,rydel,заступъ
FOSFOR/,fosfor/o,F,,,phosphore,phosphorus,Phosphor,fosfor,фосфоръ
FOST/,fost/o,F,BRO8: fosto,,poteau,"post, stake",Pfosten,"przywój, słup AK",косякъ
FOTOGRAF/,fotograf/i,F +1OA +7OA,BRO7: fotografi,,photographier,photograph,photographieren,fotografować,фотографировать
FRAG/,frag/o,F,BRO8: frago,,fraise,strawberry,Erdbeere,poziomka,земляника
FRAGMENT/,fragment/o,F,,,fragment,fragment,Bruchstück,urywek,отрывокъ
FRAJ/,fraj/o,F,,,frai (des poissons),spawn,Laich,ikra,икра
FRAK/,frak/o,F,BRO9: frako,,frac,dress-coat,Frack,frak,фракъ
FRAKAS/,frakas/i,F,BRO8: frakasi,,"broyer, écraser","shatter, smash AK",zermalmen,druzgotać,раздроблять AK
FRAKSEN/,fraksen/o,F,,,frêne,ash (tree) AK,Esche,jesion,ясень
FRAMASON/,framason/o,F,,,franc-maçon,freemason,Freimaurer,"mason, wolny mularz",масонъ
FRAMB/,framb/o,F,BRO8: frambo,,framboise,raspberry,Himbeere,malina,малина
FRANC/,franc/o,F +7OA,,,,,,,
FRAND/,frand/i,F,BRO7: frandi,,"manger avec gourmandise, par friandise AK","revel in dainties, junket AK",naschen,łasować AK,лакомиться
FRANGOL/,frangol/o,F,,,bourdaine,"black alder, buck-thorn AK",Faulbaum,wilczyna,черемуха
FRANĜ/,franĝ/o,F,,,frange,fringe,Franse,frędzla,бахрома
FRANK/,frank/o,F +1OA +8OA,,,franc (monnaie),franc,Frank,frank,франкъ
FRAP/,frap/i,F,BRO4: frapi,,frapper,"hit, knock (vb.) AK",klopfen,"stukać, uderzać","стучать, ударять"
FRAT/,frat/o,F,BRO3: frato,,frère,brother,Bruder,brat,братъ
FRAŬL/,fraŭl/o,F,BRO3: fraŭlo,,"célibataire, garçon AK",bachelor,Junggeselle AK,kawaler,холостой господинъ
FRAŬL/IN/,fraŭl/in/o,F,,,"demoiselle, mademoiselle",miss,Fräulein,panna,барышня
FREMD/,fremd/a,F,BRO4: fremda,,étranger,"strange, foreign",fremd,obcy,чужой
FRENEZ/,frenez/a,F,BRO7: freneza,,fou,"mad, crazy AK",wahnsinnig,obłąkany,сумашедшій
FREŜ/,freŝ/a,F,BRO5: freŝa,,"frais, récent",fresh,frisch,świeźy,свѣжій
FRING/,fring/o,F,,,pinson,chaffinch AK,Finke,zięba,зябликъ
FRINGEL/,fringel/o,F,,,serin (oiseau),siskin,Zeisig,czyźyk,чижъ
FRIPON/,fripon/o,F,BRO9: fripono,,"fripon, coquin","rogue, knave","Spitzbube, Schelm","szelma, łotr AK",мошенникъ
FRIZ/,friz/i,F,BRO8: frizi,,friser,"friz, curl, dress (hair) AK",frisiren,"uczesać, trefić",причесывать
FROMAĜ/,fromaĝ/o,F,BRO6: fromaĝo,,fromage,cheese,Käse,ser,сыръ
FRONT/,front/o,F,BRO9: fronto,,front (milit.) AK,front,Fronte,front,фронтъ
FROST/,frost/o,F,BRO7: frosto,,gelée,frost,Frost,mróz,морозъ
FROT/,frot/i,F,BRO7: froti,,frotter,rub,reiben,trzeć,тереть
FRU/,fru/a,F,BRO3: frua,,de bonne heure,early,früh,"rano, wcześnie",рано
FRUGILEG/,frugileg/o,F,,,"freux, grolle",rook,Saatkrähe,siewka,грачъ
FRUKT/,frukt/o,F,BRO3: frukto,,fruit,fruit,Frucht,owoc,плодъ
FRUNT/,frunt/o,F,BRO6: frunto,,front (partie du visage) AK,forehead,Stirn,czoło,лобъ
FTIZ/,ftiz/o,F,,,phtisie,"phthisis, consumption",Schwindsucht,suchoty,чахотка
FULG/,fulg/o,F,BRO8: fulgo,,suie,soot,Russ,sadza,сажа
FULM/,fulm/o,F,BRO7: fulmo,,"éclair, foudre AK",lightning,Blitz,błyskawica,молнія
FUM/,fum/o,F,BRO6: fumo,,fumée,smoke,Rauch,"dymić, palić (papierosy) AK",дымъ
FUM/I,fum/i,F,,,fumer,"smoke, fume",rauchen,palić,курить
FUND/,fund/o,F,BRO5: fundo,,fond,bottom,"Boden, Grund",dno,дно
FUNDAMENT/,fundament/o,F,BRO8: fundamento,,fondement,foundation,Fundament,fundament,основаніе
FUNEBR/,funebr/o,F,BRO8: funebro,,deuil,mourning AK,Trauer,źałoba,трауръ
FUNEBR/A,funebr/a,F,,,funèbre,funereal AK,"Trauer-, Leichen-",źałobny,траурный
FUNEL/,funel/o,F,BRO9: funelo,,entonnoir,"funnel, mill-hopper",Trichter,lejek,воронка
FUNG/,fung/o,F,BRO9: fungo,,champignon,"fungus, mushroom AK",Pilz,grzyb,грибъ
FUNT/,funt/o,F,BRO8: funto,,livre (mesure de pesanteur) AK,pound,Pfund,funt,фунтъ
FURAĜ/,furaĝ/o,F,BRO9: furaĝo,,fourrage,forage,"Futter, Verpflegung AK",furaź,фуражъ
FURIOZ/,furioz/a,F,BRO9: furioza,,furieux,"furious, raging","toll, wüthend",wściekły (z gniewu) AK,бѣшенный
FURUNK/,furunk/o,F,,,furoncle,furuncle,"Hautgeschwür, Blutgeschwür AK",czyrak AK,"чирей, фурункул AK"
FUSTEN/,fusten/o,F,,,futaine,fustian,Barchent,barchan,бумазея
FUŜ/,fuŝ/i,F,BRO9: fuŝi,,"gâcher, saboter, bâcler AK","bungle, blunder, botch AK",pfuschen,partaczyć,"кропать, плохо работать"
FUT/,fut/o,F,,,pied (mesure),foot (measure) AK,Fuss (Mass),stopa,футъ
GAD/,gad/o,F,,,merluche,"hake, stockfish AK",Stockfisch,sztokfisz,треска
GAJ/,gaj/a,F,BRO4: gaja,,gai,"gay, glad","lustig, fröhlich",wesoły,веселый
GAJL/,gajl/o,F,,,noix de galle,oak-apple,Gallapfel,"galas, dębianka",чернильный орѣхъ
GAJN/,gajn/i,F,BRO4: gajni,,gagner,gain,gewinnen,"wygrywać, zyskać AK",выигрывать
GAL/,gal/o,F,BRO9: galo,,"bile, fiel AK",gall,Galle,źółć,желчь
GALANTERI/,galanteri/o,F,,,"accessoires de toilette, nouveautés, colifichets AK","haberdashery, trimmings AK",Galanterie-Waare,towar galanteryjny,галантерейный товаръ
GALERI/,galeri/o,F,,,galerie,gallery,Gallerie,galerya,галлерея
GALON/,galon/o,F,,,galon,galloon (gold or silver lace) AK,"Gold-, Silberborte, usw. AK",galon,галунъ
GALOŜ/,galoŝ/o,F,BRO9: galoŝo,,galoche,galosh AK,Galosche,kalosz,калоша
GAM/,gam/o,F,,,gamme,"musical scale, gamut AK",Tonleiter AK,gama,гамма
GAMAŜ/,gamaŝ/o,F,,,guêtre,gaiter,Gamasche,kamasz,"гамаша, гетры AK"
GANT/,gant/o,F,BRO8: ganto,,gant,glove,Handschuh,rękawiczka,перчатка
GARANTI/,garanti/i,F,BRO8: garantii,,"garantir, donner des garanties, se porter garant AK",guarantee (vb.) AK,bürgen,ręczyć,ручаться
GARANTI/AĴ/,garanti/aĵ/o,F,,,gage,"pawn, pledge",Pfand,zastaw,залогъ
GARANTI/UL/,garanti/ul/o,F,,,otage,hostage,Geissel,zakładnik,заложникъ
GARB/,garb/o,F,BRO9: garbo,,gerbe,"sheaf, shock",Garbe,snop,снопъ
GARD/,gard/i,F,BRO5: gardi,,garder (prendre soin),"guard, watch over AK",hüten,strzedz,"стеречь, беречь"
GARGAR/,gargar/i,F,,,"rincer, gargariser AK","gargle, rinse AK",spülen,płókać,полоскать
GAS/,gas/o,F,BRO6: gaso,,gaz,gas,Gas,gaz,газъ
GAST/,gast/o,F,BRO6: gasto,,"hôte, convive AK",guest,Gast,gość,гость
GAZEL/,gazel/o,F,,,gazelle,gazel,Gazelle,gazela,газель
GAZET/,gazet/o,F,BRO4: gazeto,,gazette,"gazette, news-paper",Zeitung,gazeta,"газета, журнал AK"
