Elemento,Bazformo,Statuso,BRO,Oficiala difino,France,Angle,Germane,Pole,Ruse,Hispane,Itale,Katalune,Portugale
BALKON/,balkon/o,1OA,,,balcon,balcony,Balkon,balkon,балконъ,,,,
BALON/,balon/o,2OA,BRO7: balono,,,,,,,,,,
BALOT/,balot/i,2OA,BRO9: baloti,,voter,to ballot,ballotieren,,,,,,
BALUSTRAD/,balustrad/o,F,,,"garde-fou, balustrade",balustrade,Geländar,poręcz,перила,,,,
BALZAM/,balzam/o,2OA,,,baume,balsam,Balsam,,,,,,
BALZAMIN/,balzamin/o,2OA,,,,,,,,,,,
BAMBU/,bambu/o,F,BRO9: bambuo,,bambou,bamboo,Bambus,bambus,бамбукъ,,,,
BAN/,ban/i,F,BRO5: bani,,baigner (trans.)  AK,bath,baden,kąpać,купать,,,,
BANAL/,banal/a,2OA,,,banal,"banal, hackneyed",abgedroschen,,,,,,
BANAN/,banan/o,2OA,BRO9: banano,,,,,,,,,,
BAND/,band/o,F,,,"bande, troupe",band,"Bande, Rotte","banda, zgraja","банда, шайка",,,,
BANDAĜ/,bandaĝ/o,2OA,BRO9: bandaĝo,,,,,,,,,,
BANDEROL/,banderol/o,1OA,,,bande (de papier),"paper band, wrapper",Kreuzband,banderola,бандероль,,,,
BANDIT/,bandit/o,2OA,,,,,,,,,,,
BANK/,bank/o,1OA,BRO7: banko,,banque,bank,Bank (Geld-),bank,банкъ,,,,
BANKED/,banked/o,9OA,,"banked/o. Komuna ceremonia manĝo kun multaj partoprenantoj (por festi aŭ honori ion, ofte kun festparoladoj k.s.).",,,,,,,,,
BANKIER/,bankier/o,6OA,,bankier/o. Posedanto de banko.,banquier,banker,"Bankherr, Bankhausbesitzer",bankier,,banquero,banchiero,,
BANKROT/,bankrot/i,1OA,,,faire faillite,become bankrupt,Bankerott machen,bankrutować,банкротиться,,,,
BANT/,bant/o,F,BRO9: banto,,nœud (de ruban)  AK,"knot (of ribbon, etc.)  AK",Bandschleife  AK,pętlica,бантъ,,,,
BAPT/,bapt/i,F,BRO9: bapti,,baptiser,baptise,taufen,chrzcić,крестить,,,,
BAPT/AN/,bapt/an/o,F,,,compère,"sponsor, gossip, God-relation  AK",Gevatter,kum,кумъ,,,,
BAPT/O/FIL/,bapt/o/fil/o,F,,,filleul,god-son,Taufsohn,chrześniak,"крестный сынъ, крестникъ",,,,
BAPT/O/PATR/,bapt/o/patr/o,F,,,parrain,Godfather  AK,"Pathe, Taufvater",chrestny ojciec,крестный отецъ,,,,
BAR/,bar/o,F,BRO6: baro,,barrer,"bar, obstruct",versperren,zagradzać,заграждать,,,,
BAR/IL/,bar/il/o,F,,,haie,barrier  AK,Zaum,parkan,заборъ,,,,
BARAK/,barak/o,2OA,,barak/o. Domaĉo.,,,,,,,,,
BARAKT/,barakt/i,F,BRO8: barakti,,"gigoter, se débattre  AK","throw oneself about, struggle  AK",zappeln,szamotać się  AK,барахтаться,,,,
BARB/,barb/o,F,BRO6: barbo,,barbe,beard,Bart,broda,борода,,,,
BARBAR/,barbar/o,1OA,,,barbare,barbarous,barbarisch,barbarzyńca,варваръ,,,,
BARBIR/,barbir/o,F,BRO9: barbiro,,barbier,barber,Barbier,balwierz  AK,"цирюльник, парикмахер  AK",,,,
BARĈ/,barĉ/o,F,,,soupe de betteraves,beetroot soup  AK,Runkelrübensuppe  AK,barszcz,борщъ,,,,
BARD/,bard/o,1OA,,,barde,bard,Barde,bard,бардъ,,,,
BAREL/,barel/o,F,BRO8: barelo,,tonneau,"keg, barrel","Fass, Tonne",beczka,бочка,,,,
BARELIEF/,barelief/o,3OA,,,bas-relief,low-relief,"flacherhabene Arbeit, Bas-Relief",,,bajo relieve,bassorilievo,,baixo relevo
BARIER/,barier/o,3OA,,,barrière,barrier,"Barriere, Schranke",,,barrera,barriera,,barreira
BARIKAD/,barikad/o,2OA,,,,,,,,,,,
BARITON/,bariton/o,1OA,,,baryton,baritone,Bariton,baryton,баритонъ,,,,
BARK/,bark/o,F,BRO9: barko,,barque,bark (ship)  AK,Barke,barka,барка,,,,
BAROMETR/,barometr/o,1OA,,,baromètre,barometer,Barometer,barometr,барометръ,,,,
BARON/,baron/o,1OA,,,baron,baron,Baron,baron,баронъ,,,,
BAS/,bas/o,1OA,,,basse (voix),bass (mus.),Bass,bas,басъ,,,,
"BASEN/ (de haveno, de fontano, de maro, k. t. p.)",basen/o,2OA,,,,,,,,,,,
BASK/,bask/o,F,BRO9: basko,,"basque (d’habit), pan  AK","basque (of bodice, coat, etc.)  AK","Schoss, Rockschoss",poła,пола,,,,
BASKUL/,baskul/o,9OA,,"baskul/o 1 Aparato konsistanta el trabo, stango, tabulo aŭ simila afero, kies unu ekstremaĵo leviĝas, kiam la alia malsupreniras. 2 Ludilo konsistanta el tabulo aŭ stango, kiu estas ekvilibrigita sur mezpunkto, kaj sur kies ekstremaĵoj povas sidi personoj alterne leviĝantaj kaj malleviĝantaj laŭ la movo de la tabulo aŭ stango. 3 Cirkvito, meĥanismo k.s., kiu analoge al baskulo 1 povas alterni inter du statoj.",,,,,,,,,
BAST/,bast/o,F,,,écorce d’arbre,"bast, inner bark (tree)  AK",Bast,łyko,"луб, лыко  AK",,,,
BASTARD/,bastard/o,1OA,,,bâtard,bastard,Bastard,bękart,незаконнорожденный,,,,
BASTION/,bastion/o,F,,,bastion,bulwark,Bollwerk,"baszta, warownia",бастіонъ,,,,
BASTON/,baston/o,F,BRO6: bastono,,bâton,stick,Stock,"kij, laska",палка,,,,
BAT/,bat/i,F,BRO3: bati,,battre,beat,schlagen,bić,бить,,,,
BATAL/,batal/i,F,BRO4: batali,,combattre,fight,kämpfen,walczyć,"бороться, сражаться  AK",,,,
BATAL/IL/,batal/il/o,F,,,arme,weapon,"Waffe, Wehr  AK",broń,оружіе,,,,
BATALION/,batalion/o,1OA,,,bataillon,battalion,Bataillon,bataljon,баталіонъ,,,,
BATERI/,bateri/o,1OA,,,batterie,battery,Batterie,baterja,батарея,,,,
BATIST/ (speco de tuko),batist/o,2OA,,,,,,,,,,,
BAZ/,baz/o,1OA,BRO8: bazo,,base,"basis, base","Base (arch., chem)",podstawa,"основаніе, база",,,,
BAZALT/,bazalt/o,2OA,,,,,,,,,,,
BAZAR/,bazar/o,F,BRO8: bazaro,,"bazar, marché  AK",bazar  AK,"Markt, Basar  AK","targ, rynek",базаръ,,,,
BAZILIK/ (arĥ.),bazilik/o,2OA,,,,,,,,,,,
BAZILISK/,bazilisk/o,1OA,,,basilic,basilisk,Basilisk,bazyliszek,василискъ,,,,
BEB/,beb/o,8OA,BRO8: bebo,beb/o. Tre juna infano.,bébé,baby,"Saügling, Kleinkind, Baby",,,"bebé, “baby”","bimbo, bimbetto, (“bebè”)",,bebê
BED/,bed/o,F,,,"couche, platebande  AK",bed (garden),Beet,"grzęda, zagon",гряда,,,,
BEDAŬR/,bedaŭr/i,F,BRO6: bedaŭri,,regretter,"regret, be sorry  AK",bedauern,żałować,жалѣть,,,,
BEK/,bek/o,F,BRO6: beko,,bec,beak,Schnabel,dziób,клювъ,,,,
BEL/,bel/a,F,BRO2: bela,,beau,beautiful,schön  AK,piękny,красивый,,,,
BELADON/,beladon/o,F,,,belladonne,"belladonna, deadly nightshade  AK",Tollkirsche,"pokrzyk, wilcza jagoda","белладона, сонная одурь  AK",,,,
BELETR/,beletr/o,9OA,,"beletr/o. Arta literaturo plezurocela aŭ distrocela, precipe tia, kiu rakontas pri okazaĵoj kaj personoj imagitaj. beletr/aĵ/o. Verko beletra. beletr/ist/o. Beletra verkisto aŭ specialisto.",,,,,,,,,
BELETRISTIK/,beletristik/o,1OA,,,belles-lettres,belles-lettres,Belletristik,beletrystyka,беллетристика,,,,
BELG/,belg/o,8OA,,,,,,,,,,,
BEMOL/,bemol/o,9OA,,"bemol/o. Muziknota kromsigno, kiu montras malaltigon de tono: ♭.",,,,,,,,,
BEN/,ben/i,F,BRO8: beni,,bénir,bless,segnen,błogosławić,благословлять,,,,
BEND/,bend/o,8OA,BRO9: bendo,bend/o. Mallarĝa kaj longa peco el ia maldika materio.,"bande (d’étoffe, ...)","tape, band","Binde, Band, Streifen",,,"tira, venda, banda","fascia, benda, banda, nastro",,"tira, fita, faixa"
BENK/,benk/o,F,BRO5: benko,,banc,bench,Bank (zum Sitzen),ławka,скамья,,,,
BENZIN/,benzin/o,1OA,BRO8: benzino,,benzine,benzine,Benzin,benzyna,бензинъ,,,,
BER/,ber/o,F,BRO7: bero,,baie (bot.)  AK,berry,Beere,jagoda,ягода,,,,
BERIL/ (min.),beril/o,2OA,,,,,,,,,,,
BERLIN/,Berlin/o,F +7OA,,,,,,,,,,,
BERT/,Bert/o,F +7OA,,,,,,,,,,,
BEST/,best/o,F,BRO4: besto,,"animal, bête  AK","animal, beast  AK",Thier,zwierzę,животное,,,,
BET/,bet/o,F,BRO9: beto,,betterave,red beet,Runkelrübe,burak  AK,свекловица,,,,
BETON/,beton/o,9OA,,"beton/o. Konstrumaterialo, miksaĵo el sablo, ŝtonetoj, cemento kaj akvo.",,,,,,,,,
BETUL/,betul/o,F,BRO8: betulo,,bouleau,birch (tree),Birke,brzoza,береза,,,,
BEZON/,bezon/i,F,BRO3: bezoni,,avoir besoin de,"need, want",brauchen,potrzebować,нуждаться,,,,
BIBLI/,bibli/o,1OA,,,Bible,Bible,Bibel,biblja,библія,,,,
BIBLIOGRAF/,bibliograf/o,7OA,,,,,,,,,,,
BIBLIOGRAFI/,bibliografi/o,2OA,,,,,,,,,,,
BIBLIOTEK/,bibliotek/o,1OA,BRO8: biblioteko,,bibliothèque,library,Bibliothek,bibljoteka,библіотека,,,,
BICIKL/,bicikl/o,1OA,BRO8: biciklo,,bicycle,bicycle,Zweirad,bicykl,велосипедъ,,,,
BIEN/,bien/o,F,BRO7: bieno,,"bien, avoir, propriété  AK","goods, estate","Gut, Landgut","posiadłość ziemska, majątek",имѣніе,,,,
BIER/,bier/o,F,BRO7: biero,,bière,beer,Bier,piwo,пиво,,,,
BIFSTEK/,bifstek/o,1OA,BRO9: bifsteko,,bifteck,beefsteak,Beefsteak,befsztyk,бифштексъ,,,,
BIGOT/,bigot/o,1OA,,,bigot,bigot,Frömmler,bigot,ханжа,,,,
BILANC/,bilanc/o,1OA,,,bilan,balance sheet,Bilanz,bilans,балансъ,,,,
BILARD/,bilard/o,2OA,,,,,,,,,,,
BILD/,bild/o,1OA,BRO3: bildo,,image,"image, picture",Bild,obraz,"изображеніе, картина",,,,
BILET/,bilet/o,3OA,BRO7: bileto,,billet,ticket,"Billet, Fahrkarte, Eintrittskarte",,,billete,biglietto,,bilhete
BIND/,bind/i,F,BRO9: bindi,,relier,bind (books),binden (Bücher),oprawiać,переплетать,,,,
BINOKL/,binokl/o,3OA,,,"jumelle (de théâtre, etc.)","binocle, double eyeglass, opera-glass","Binocle, Opernglas (noto)",,,gemelos de teatro,binoccolo,,binoculo
BIOGRAF/,biograf/o,7OA,,,,,,,,,,,
BIOGRAFI/,biografi/o,2OA,,,,,,,,,,,
BIOLOG/,biolog/o,7OA,,biolog/o. Biologiisto.,,,,,,,,,
BIOLOGI/,biologi/o,1OA,,,biologie,biology,Biologie,biologja,біологія,,,,
BIRD/,bird/o,F,BRO3: birdo,,oiseau,bird,Vogel,ptak,птица,,,,
BIRET/,biret/o,4OA,,,"barrette, toque","biretta, cap",Barett,,,birrete,berretta,birreta,barrete
BIRM/,Birm/o,8OA,,,,,,,,,,,
BIS,bis,4OA,,,bis!,again!,noch einmal!,,,bis!,bis!,bis!,bis!
BISKVIT/,biskvit/o,F,,,biscuit (pâtisserie)  AK,biscuit,Zwieback,sucharek,бисквитъ,,,,
BISMUT/,bismut/o,F,,,bismuth,bismuth,Bismuth,bismut,висмутъ,,,,
BISTURI/,bisturi/o,2OA,,,,,,,,,,,
BIT/,bit/o,9OA,,bit/o. Pozicio de duuma cifero en duuma kodaĵo: kontrola parecbito; la tria bito de la nombroprezento; ĉi tia memorĉelo povas enteni 32 bitojn; por prezenti tian nombron oni bezonas almenaŭ 10 bitojn. bit/ok/o. Grupo de ok bitoj traktata kiel tutaĵo (kiel unuo en komputado k.s.).,,,,,,,,,
BITUM/,bitum/o,1OA,,,bitume,bitumen,"Bitumen, Erdpech",smoła ziemna,битумъ,,,,
BIVAK/,bivak/o,1OA,,,bivouac,bivouac,Biwak,biwak,бивакъ,,,,
BIZON/,bizon/o,9OA,,"bizon/o. Sovaĝa remaĉanta parhufa bovosimila mamulo Nord-Amerika kaj Eŭropa. (Bison bison, Bison bonasus.)",,,,,,,,,
BLANK/,blank/a,F,BRO3: blanka,,blanc,white,weiss,biały,бѣлый,,,,
BLASFEM/,blasfem/i,1OA,BRO9: blasfemi,,blasphème,blasphemy,Gotteslästerung,bluźnierstwo,богохульство,,,,
BLAT/,blat/o,F,,,"blatte, cafard, cancrelas  AK","blackbeetle, cockroach  AK",Schabe,karaluch  AK,тараканъ,,,,
BLAZON/,blazon/o,1OA,,,blason,blazonry,Wappen,herb,гербъ,,,,
BLEK/,blek/i,F,BRO9: bleki,,"crier (en parlant des animaux), beugler, hennir, ..  AK",cry (of beasts),"blöken, wiehern etc.","beczeć, rżeć","мычать, блеять, ржать и т. п",,,,
BLIND/,blind/a,F,BRO7: blinda,,aveugle,blind,blind,ślepy,слѣпой,,,,
BLOK/,blok/o,3OA,BRO9: bloko,,bloc,"block, lump","Block, Klotz",blok,,maza,"blocco, masso",,
BLOKAD/,blokad/o,3OA,,,blocus,blockade,Blockade,,,bloqueo,blocco,,bloqueio
BLOND/,blond/a,F,BRO7: blonda,,blond,"blond, fair  AK",blond,"blond, płowy  AK","русый, бѣлокурый",,,,
BLOV/,blov/i,F,BRO6: blovi,,souffler,blow (trans.)  AK,"blasen, wehen","dąć, dmuchać",дуть,,,,
BLU/,blu/a,F,BRO4: blua,,bleu,blue,blau,niebieski,синій,,,,
BLUF/,bluf/i,9OA,,"bluf/i. Ŝajnigi sin supera al kontraŭulo por konduki tiun al eraro: ne timu lian minacon, ĉar li blufas.",,,,,,,,,
BLUZ/,bluz/o,1OA,BRO8: bluzo,,blouse,blouse,Bluse,bluza,блуза,,,,
BO/,bo-,F,BRO1: bo-,,marque la parenté resultant du mariage; ex. patr/ père ― bo/patr/ beau-père,relation by marriage; e. g. patr/in/ mother ― bo/patr/in/ mother-in-law,durch Heirath (eigene oder fremde) erworben; z. B. patr/ Vater ― bo/patr/ Schwiegervater; frat/ Bruder ― bo/frat/ Schwager,nabyty przez małżeństwo (własne lub obce); np. patr/ ojciec ― bo/patr/ teść; frat/ brat ― bo/frat/ szwagier,"пріобрѣтенный бракомъ (своимъ или чужимъ); напр. patr/ отецъ ― bo/patr/ тесть, свекоръ; frat/ братъ ― bo/frat/ шуринъ, зять, деверь",,,,
BO,bo,F +7OA,,"bo. Nomo de la litero b, dua litero de la Esperanta alfabeto.",,,,,,,,,
BOA/,boa/o,F,,,boa,boa (serpent)  AK,Riesenschlange,boa,"боа, удавъ",,,,
BOAC/,boac/o,9OA,,boac/o. Arkta remaĉanta mamulo portanta kornojn (en la Fundamento nomata norda cervo). (Rangifer tarandus.),,,,,,,,,
BOAT/,boat/o,F,BRO8: boato,,"bateau, canot","boat, bark",Boot,"bat, łódź","шлюпка, лодка, бот  AK",,,,
BOBEN/,boben/o,F,,,bobine,"spool, bobin",Spule,"cewka, szpulka",катушка,,,,
BOJ/,boj/i,F,BRO8: boji,,aboyer,bark (dog’s),bellen,szczekać,лаять,,,,
BOJKOT/,bojkot/i,2OA,,,,,,,,,,,
BOKS/,boks/i,1OA,,,boxer,box (fight),boxen,boksować,боксировать,,,,
BOL/,bol/i,F,BRO6: boli,,bouillir,boil (vb.),sieden,"kipić, wrzeć",кипѣть,,,,
BOLIVI/,Bolivi/o,8OA,,,,,,,,,,,
BOMB/,bomb/o,2OA,,,,,,,,,,,
BOMBARD/,bombard/i,1OA,,,bombarder,bombard,bombardieren,bombardować,бомбардировать,,,,
BOMBAST/,bombast/o,4OA,,,"enflure (fig.), style ampoulé, emphase","bombast, turgidness","Bombast, schwulstige Redeweise, Redeschwall",,,"ampulosidad, énfasis",ampollosità,"èmfasi, ampul·lositat (noto)","enfase, estilo empolado"
BOMBON/,bombon/o,F,BRO8: bombono,,bonbon,"a sweet, bonbon  AK","Bonbon, Zuckerwerk  AK",cukierek,конфета  AK,,,,
BON/,bon/a,F,BRO2: bona,,bon,good,gut,dobry,"хорошій, добрый",,,,
BOR/,bor/i,F,BRO8: bori,,percer,bore (vb.),bohren,"wiercić, świdrować",буравить,,,,
BORAKS/,boraks/o,F,,,borax,borax,Borax,boraks,бура,,,,
BORD/,bord/o,F,BRO4: bordo,,"bord, rivage",shore,Ufer,brzeg,берегъ,,,,
BORDEL/,bordel/o,1OA,,,bordel,brothel,Bordell,burdel,бордакъ,,,,
BORDER/,border/i,F,,,border,"border, hem  AK","säumen, einfassen  AK","obrębiać, bramować","окаймлять, подшивать (кайму)  AK",,,,
BORS/,bors/o,F,BRO9: borso,,bourse (local)  AK,"bourse, exchange",Börse (der Kaufleute),giełda,биржа,,,,
BOSK/,bosk/o,2OA,,,bosquet,bosk,Lustwäldchen,,,,,,
BOT/,bot/o,F,BRO7: boto,,botte,boot,Stiefel,but,сапогъ,,,,
BOTANIK/,botanik/o,1OA,,,botanique,botany,Botanik,botanika,ботаника,,,,
BOTEL/,botel/o,F,BRO6: botelo,,bouteille,bottle,Flasche,butelka,бутылка,,,,
BOV/,bov/o,F,BRO5: bovo,,boeuf,ox,"Ochs, Rind  AK",byk,быкъ,,,,
BOVL/,bovl/o,8OA,BRO9: bovlo,"bovl/o. Larĝa, duonsfera taso, ordinare el argilo aŭ fajenco.",bol,bowl,(Trink)schale,,,"tazón, bol",ciotola,,"tijela, escudela"
BRACELET/,bracelet/o,2OA,BRO9: braceleto,,bracelet,bracelet,Armband,,,,,,
BRADIP/,bradip/o,9OA,,"bradip/o. Centr-Amerika kaj Sud-Amerika mamulo, kiu pendas de arbobranĉoj per la hokaj ungegoj de siaj tre longaj dufingraj aŭ trifingraj membroj, kaj sin movas tre malrapide. (Bradypus.)",,,,,,,,,
BRAK/,brak/o,F,BRO4: brako,,bras,arm,Arm,ramię,рука (от плеча до кисти)  AK,,,,
BRAM/,bram/o,F,,,brême,bream,Brassen,leszcz,лещъ,,,,
BRAMAN/,braman/o,2OA,,,,,,,,,,,
BRAN/,bran/o,F,,,son (de grain)  AK,bran,Kleie,otręby,отруби,,,,
BRANĈ/,branĉ/o,F,BRO6: branĉo,,branche,branch,"Ast, Zweig  AK",gałaź,вѣтвь,,,,
BRAND/,brand/o,F,BRO9: brando,,eau-de-vie,brandy,Branntwein,wódka,водка,,,,
BRANK/,brank/o,F,,,"branchies, ouïes","gill, fish-ear",Kieme,dychawka,жабра,,,,
BRASIK/,brasik/o,F,BRO7: brasiko,,chou,cabbage,"Krautkopf, Kohl  AK",kapusta,капуста,,,,
BRAV/,brav/a,F,BRO8: brava,,"brave, vaillant  AK","valiant, brave",tüchtig,"dzielny, chwacki","удалой, бравый  AK",,,,
BRAZIL/,Brazil/o,8OA,,,,,,,,,,,
BREĈ/,breĉ/o,2OA,,,,,,,,,,,
BRED/,bred/i,8OA,BRO9: bredi,bred/i 1. Teni kaj reprodukti (bestojn) por la homuzado. 2. Plibonigi kulturformojn de plantoj kaj bestoj produktante novajn per krucado aŭ selekto.,"élever, produire (bêtes, plantes), améliorer (race)",to breed,"züchten, aufziehen",,,criar,allevare,,"criar (animais), cultivar (plantas), melhorar (raça)"
BREMS/,brems/o,5OA,BRO8: bremso,"brems/o. (Mekaniko). Mekanika aŭ elektra aparato por malakceli, haltigi aŭ reguligi movon aŭ funkciadon de maŝino.",frein,brake,Bremse,bremzo,,freno (de una máquina),freno,,
BRET/,bret/o,F,BRO7: breto,,"tablette, étagère, rayon  AK","shelf, rack  AK","Wandbrett, Regal",półka,полка,,,,
BRID/,brid/o,F,BRO9: brido,,bride,bridle,Zaum,uzda,узда,,,,
BRIGAD/,brigad/o,2OA,,,,,,,,,,,
BRIK/,brik/o,F,BRO7: briko,,brique,brick,"Backstein, Ziegelstein  AK",cegła,кирпичъ,,,,
BRIL/,bril/i,F,BRO4: brili,,briller,shine,glänzen,błyszczeć,блистать,,,,
BRILIANT/,briliant/o,F,,,brillant (diamant)  AK,"brilliant, gem  AK","Brillant (Stein), geschliffener Diamant  AK",brylant,бриліантъ,,,,
BRIT/,brit/o,9OA,,"brit/o 1 Ano de Britujo. 2 Ano de la antikva indiĝena gento de Britujo 1. Brit/uj/o 1 Insulo en Eŭropo, inter Francujo kaj Irlando. 2 Regno, kiu inkluzivas Britujon 1 kaj Nord-Irlandon. Internacia landokodaĵo: GB.",,,,,,,,,
BROĈ/,broĉ/o,1OA,,,broche,brooch,Brosche,brosza,брошь,,,,
BROD/,brod/i,F,,,broder,embroider  AK,sticken,haftować,вышивать,,,,
BROG/,brog/i,F,,,échauder,scald,brühen,oparzyć  AK,обваривать кипяткомъ,,,,
BROKANT/,brokant/i,2OA,BRO9: brokanti,,brocanter,to broke,schachern,,,,,,
BROKOL/,brokol/o,9OA,,"brokol/o. Speco de legoma brasiko, parenca al florbrasiko, kun kapo verda (ĉe iaj specoj tamen violkolora aŭ eĉ blanka) konsistanta el nefirma floraro. (Brassica oleracea italica.)",,,,,,,,,
BROM/,brom/o,1OA,,,brome,bromine,Brom,brom,бромъ,,,,
BRONK/,bronk/o,2OA,,,bronche,bronchial-tube,Luftröhrenast,,,,,,
BRONKIT/,bronkit/o,2OA,,,,,,,,,,,
BRONZ/,bronz/o,F,BRO9: bronzo,,bronze,bronze,Bronze,bronz,бронза,,,,
BROS/,bros/o,F,BRO6: broso,,brosse,brush,Bürste,szczotka,щетка,,,,
BROŜUR/,broŝur/o,1OA,BRO8: broŝuro,,brochure,pamphlet,Broschüre,broszura,брошюра,,,,
BROV/,brov/o,F,BRO8: brovo,,sourcil,eye-brow,Augenbraue,brew,бровь,,,,
BRU/,bru/i,F,BRO4: brui,,faire du bruit,noise,"lärmen, brausen","szumieć, hałasować",шумѣть,,,,
BRUL/,brul/i,F,BRO3: bruli,,brûler (être en feu),burn (v. n.),brennen (v. n.),palić się,горѣть,,,,
BRUL/UM/,brul/um/o,F,,,inflammation,inflammation,Entzündung,zapalenie,воспаленіе,,,,
BRUN/,brun/a,F,BRO5: bruna,,brun,brown,braun,brunatny,бурый,,,,
BRUST/,brust/o,F,BRO5: brusto,,poitrine,breast,Brust,pierś,грудь,,,,
BRUT/,brut/o,F,BRO9: bruto,,"brute, bétail",head of cattle  AK,Vieh,bydło,скотъ,,,,
BUB/,bub/o,F,BRO8: bubo,,gamin  AK,"lad, urchin  AK",Bube,"chłopak, ulicznik  AK",мальчишка,,,,
BUBAL/,bubal/o,F,,,buffle,buffalo  AK,Büffel,bawół,буйволъ,,,,
BUĈ/,buĉ/i,F,BRO9: buĉi,,"tuer, massacrer, abattre (animaux)  AK","slaughter, butcher",schlachten,"zabijać, rzezać",закалывать  AK,,,,
BUD/,bud/o,F,BRO8: budo,,"boutique, échoppe  AK","booth, shop",Bude,buda,балаганъ,,,,
BUDĜET/,budĝet/o,3OA,BRO9: budĝeto,,budget,budget,Budget,budżet (noto),,presupuesto,bilancio preventivo,,orcamento
BUDUAR/,buduar/o,1OA,,,boudoir,boudoir,Boudoir,buduar,будуаръ,,,,
BUF/,buf/o,F,,,crapaud,toad,Kröte,ropucha,жаба,,,,
BUFED/,bufed/o,F,,,"buffet, restaurant  AK",buffet,Buffet,bufet  AK,буфетъ,,,,
BUĜET/,buĝet/o,8OA,BRO9: buĝeto,"buĝet/o. Detala antaŭkalkulo de en- kaj el-spezoj por difinita periodo, ofte prezentita en formala dokumento.",budget,budget,"Haushaltsplan, Budget",,,"presupuesto, (“budget”)","bilancio, preventivo",,orçamento
BUK/,buk/o,F,BRO9: buko,,boucle,"buckle, clasp  AK",Schnalle,sprzączka,пряжка,,,,
BUKED/,buked/o,F,BRO9: bukedo,,bouquet,nosegay,Strauss (Blumen),bukiet,букетъ,,,,
BUKL/,bukl/o,F,BRO9: buklo,,bouche (de cheveux)  AK,"curl, ringlet  AK",Locke,"lok, pukiel",локонъ,,,,
BUKS/,buks/o,1OA,,,buis,box (tree),Buchsbaum,bukszpan,буксъ,,,,
BUL/,bul/o,F,BRO7: bulo,,"boule, motte","lump, clod, ball  AK",Kloss,"bryla, kluska","ком, комок  AK",,,,
BULB/,bulb/o,F,BRO9: bulbo,,"bulbe, oignon  AK","bulb, onion  AK",Zwiebel,cebula,луковица,,,,
BULGAR/,bulgar/o,8OA,,,,,,,,,,,
BULJON/,buljon/o,F,,,bouillon,broth,Bouillon,buljon,бульонъ,,,,
BULK/,bulk/o,F,BRO9: bulko,,petit pain blanc  AK,"manchet loaf, roll (bread)  AK",Semmel,bułka,булка,,,,
BULONJ/,Bulonj/o,F +7OA,,,,,,,,,,,
BULTEN/,bulten/o,5OA,BRO9: bulteno,bulten/o. Perioda informilo de societo.,bulletin,bulletin,periodischer schriftlicher Bericht,buletyn,,boletín (periódico) (noto),bollettino,,
BULVARD/,bulvard/o,1OA,BRO8: bulvardo,,boulevard,boulevard,Boulevard,bulwar,бульваръ,,,,
BURD/,burd/o,F,,,bourdon (zool.)  AK,"bumble-bee, humble-bee  AK",Hummel,trzmiel,шмель,,,,
BURĜ/,burĝ/o,F,BRO7: burĝo,,bourgeois,burgher,Bürger (nicht adeliger),mieszczanin,мѣщанинъ,,,,
BURĜON/,burĝon/o,F,BRO9: burĝono,,bourgeon,bud,Knospe,pączek,"почка (растения), бутон  AK",,,,
BURLESK/,burlesk/a,2OA,,,,,,,,,,,
BURNUS/,burnus/o,2OA,,,,,,,,,,,
BUROKRAT/,burokrat/o,9OA,,"burokrat/o 1 Oficisto en administrejo (ŝtata), rigardata kiel parto de sistemo por regado kaj administrado. (Se oni parolas konkrete pri persono, oni preferas vortojn kiel oficisto, administranto, funkciulo k.s.) 2 (malŝate) Persono, kiu rigore sekvas la administrajn regulojn kaj rutinojn, sed ignoras la bazan celaron de la laboro aŭ la demokratian devon reagi al publikaj kritikoj. burokrat/ar/o. Tuto de la burokratoj 1 (en unu ŝtato k.s.). burokrat/ism/o 1 Sistemo de (kvazaŭa) regado fare de la burokrataro; administra sistemo, en kiu la burokratoj 1 havas tro da povo aŭ influo. 2 (malŝate) La procedo-troigaj tendencoj de burokrato 2; sistema flegado aŭ apogado de tiaj tendencoj.",,,,,,,,,
BUST/,bust/o,1OA,,,buste,bust,Büste,bjust,бюстъ,,,,
BUŜ/,buŝ/o,F,BRO3: buŝo,,bouche,mouth,Mund,usta,ротъ,,,,
BUŜ/UM/,buŝ/um/o,F,,,muselière,muzzle  AK,Maulkorb,kaganiec,намордникъ,,,,
BUŜEL/,buŝel/o,F,,,boisseau,bushel,Scheffel,korzec,"бушель, английская мера сыпучих тел, равная 36,5 литра (прибл. четверик)  AK",,,,
BUTER/,buter/o,F,BRO5: butero,,beurre,butter,Butter,masło,масло (коровье),,,,
BUTIK/,butik/o,F,BRO8: butiko,,boutique,small shop  AK,"Laden, Krambude",sklep,лавка (торговая),,,,
BUTON/,buton/o,F,BRO6: butono,,bouton,button,Knopf,guzik,пуговица,,,,
BUTON/UM/,buton/um/i,F,,,boutonner,button,zuknöpfen,zapinać,застегивать,,,,
CAR/,car/o,1OA,,,tsar,czar,Zar,car,царь,,,,
CED/,ced/i,F,BRO8: cedi,,céder,"yield, give up","abtreten, weichen",ustępować,уступать,,,,
CEDR/,cedr/o,F,,,cèdre,cedar,Ceder,cedr,кедръ,,,,
CEJAN/,cejan/o,F,,,bluet  AK,corn-flower,Kornblume,bławatek,василекъ,,,,
